rt,response,participant_id
1.213996171951294,1.0,935
2.3380234241485596,1.0,935
1.099997639656067,1.0,935
1.2919951677322388,1.0,935
2.65803599357605,1.0,935
2.695033311843872,1.0,935
1.5239921808242798,1.0,935
1.8099987506866455,1.0,935
0.7730001211166382,-1.0,935
0.909000039100647,1.0,935
0.9809991121292114,-1.0,935
4.225922107696533,1.0,935
1.540992021560669,1.0,935
3.359985113143921,1.0,935
1.349994421005249,1.0,935
1.1409971714019775,1.0,935
1.9810068607330322,1.0,935
0.7780001163482666,1.0,935
1.9980075359344482,-1.0,935
1.2189960479736328,-1.0,935
1.8880023956298828,-1.0,935
2.0300090312957764,1.0,935
1.4219934940338135,-1.0,935
0.909000039100647,1.0,935
0.8370002508163452,-1.0,935
0.8610002994537354,-1.0,935
1.611991047859192,1.0,935
1.1469969749450684,1.0,935
0.9569994211196899,-1.0,935
1.047998309135437,-1.0,935
1.661991834640503,1.0,935
0.9469995498657227,-1.0,935
1.004998803138733,-1.0,935
1.2679954767227173,1.0,935
1.2189960479736328,-1.0,935
0.7780001163482666,1.0,935
1.5979912281036377,1.0,935
1.300995111465454,1.0,935
1.4069936275482178,1.0,935
0.8840003609657288,1.0,935
3.1510002613067627,1.0,935
2.906018018722534,1.0,935
3.1719987392425537,1.0,935
0.9519995450973511,1.0,935
2.3270230293273926,-1.0,935
1.2079962491989136,1.0,935
0.8330002427101135,1.0,935
1.4569931030273438,1.0,935
1.7829976081848145,1.0,935
1.8259994983673096,1.0,935
1.0499982833862305,-1.0,935
1.070997953414917,1.0,935
1.1569969654083252,1.0,935
1.04399836063385,1.0,935
0.853000283241272,-1.0,935
1.5229921340942383,1.0,935
1.7409956455230713,1.0,935
1.4619929790496826,-1.0,935
1.375994086265564,1.0,935
1.3889939785003662,1.0,935
1.5659916400909424,1.0,935
0.8290002346038818,-1.0,935
3.3929827213287354,1.0,935
2.494030714035034,1.0,935
1.018998622894287,1.0,935
1.9980075359344482,1.0,935
1.6379907131195068,1.0,935
1.2419958114624023,-1.0,935
